100 generations, 100 pop


gen 	best fitness
0	130041.12488926391
1	130041.12488926391
2	113777.08743432566
3	113777.08743432566
4	108305.561530929
5	108305.561530929
6	108305.561530929
7	106947.84686184097
8	106724.71571257566
9	106544.37783216234
10	106544.37783216234
11	104857.25361455503
12	104370.84522195035
13	101628.89134062505
14	101628.89134062505
15	101628.89134062505
16	101628.89134062505
17	101628.89134062505
18	101549.03853542866
19	101245.9260511161
20	100247.39963336673
21	100247.39963336673
22	100247.39963336673
23	100247.39963336673
24	99836.07523488246
25	99836.07523488246
26	99778.11729733348
27	99431.54675293808
28	99431.54675293808
29	99431.54675293808
30	99431.54675293808
31	99418.06997311552
32	99416.7665902878
33	99356.05512644793
34	98855.62458686881
35	98855.62458686881
36	98855.62458686881
37	98855.62458686881
38	98844.61339896012
39	98844.61339896012
40	98844.61339896012
41	98692.4979136463
42	98627.60413627594
43	98527.30255243329
44	98527.30255243329
45	98527.30255243329
46	98527.30255243329
47	98527.30255243329
48	98357.07819815936
49	98357.07819815936
50	98333.19062293264
51	98333.19062293264
52	98333.19062293264
53	98295.02859765873
54	98295.02859765873
55	98139.33217841519
56	98139.33217841519
57	98139.33217841519
58	98139.33217841519
59	98139.33217841519
60	98139.33217841519
61	98139.33217841519
62	98088.77058723079
63	98088.77058723079
64	98082.60754842998
65	98082.60754842998
66	98082.60754842998
67	98082.60754842998
68	98035.5722333363
69	98035.5722333363
70	98023.55115143604
71	98001.94915199255
72	98001.94915199255
73	98001.94915199255
74	97934.5672683418
75	97934.5672683418
76	97934.5672683418
77	97934.5672683418
78	97934.5672683418
79	97932.79311947252
80	97889.50473349505
81	97885.54403409085
82	97885.54403409085
83	97873.75775401795
84	97872.15296421885
85	97872.15296421885
86	97872.15296421885
87	97872.15296421885
88	97786.45248020565
89	97682.85239366977
90	97682.85239366977
91	97682.85239366977
92	97682.85239366977
93	97682.85239366977
94	97682.85239366977
95	97682.85239366977
96	97682.85239366977
97	97682.85239366977
98	97673.10411165644
98	97673.10411165644

 best individual:
[-3.6025568056425366, -0.2979231207637465, 1.6924982649065945, -4.114810031111331, -3.5573544043388585, 1.5805848555098354, -0.9542277646772455, -0.2442894407043159, 0.8906438459998292, -4.204503832172119, -4.6894127715660785, -4.160042170473947, 1.886948916345502, 2.3385865720626495, 0.9084451177760904, 2.8702865515586238, -2.280501547325109, 2.5791249813844965, 5.150970873973403, -5.960997312489282, 4.240271840995538, -0.27902341889412074, -1.5094801577898094, 0.78023360470447, 1.9148415821062725, 1.4455893710227414, -6.870188512536484, -4.114210059795481, 0.3956012436913934, 3.259183224238957, 3.3868676795424753, -3.550677706412, -4.554610772751591, 5.03724434473911, -0.6204207985113861, 2.3476853013658276, -0.8315316578319258, -0.09316395840331992, 3.192896894376413, -2.016198543492277, 3.2039390857731957, -4.016251808486718, 0.29091898720495313, -1.1615398516978388, 1.8731274574596055, 3.9240119485493015, 3.147602803971738, -1.6429927189424034, 2.9509191726705586, -0.05844349828457851]


correct:  478
percent:  75.3943217666
77  predictions were within one minute
12.1451104101 percent of predictions were within one minute
mean response prediction error:  -0.0937063833324
response prediction error st dev:  5.51729151471
