20 pop, 500 gen
# config file
# configuration for neural network
nnet = dict(
    n_inputs = 4,
    n_h_neurons = 4,
    n_h_layers = 2,
    n_outputs = 2
)

# configuration for genetic algorithm
ga = dict(
    prob_xover  = 0.2,
    prob_mut    = 0.2,
    mut_ind     = 0.1
)

gen 	best fitness
0	123198.137407
1	123198.137407
2	123198.137407
3	123198.137407
4	123198.137407
5	114339.016229
6	114339.016229
7	113402.813677
8	112829.702355
9	111036.66151
10	110373.082535
11	110373.082535
12	110373.082535
13	110074.272976
14	109438.879623
15	109288.096237
16	109288.096237
17	108290.076947
18	107201.261392
19	107201.261392
20	107201.261392
21	106882.241983
22	106882.241983
23	106415.863461
24	106415.863461
25	106391.509567
26	106391.509567
27	106077.373179
28	106077.373179
29	106069.699283
30	106069.699283
31	106069.699283
32	106069.699283
33	106069.699283
34	106069.699283
35	106069.699283
36	105692.466597
37	105692.466597
38	105678.495781
39	105677.090837
40	105677.090837
41	105677.090837
42	105677.090837
43	105677.090837
44	105677.090837
45	104432.077213
46	104432.077213
47	104432.077213
48	104432.077213
49	104432.077213
50	104432.077213
51	104222.723847
52	104222.723847
53	104222.723847
54	104222.723847
55	104222.723847
56	104222.723847
57	104222.723847
58	104033.358122
59	104033.358122
60	103841.82351
61	103463.660456
62	103463.660456
63	103463.660456
64	103463.660456
65	103460.00972
66	102700.172118
67	102700.172118
68	102645.556005
69	102306.630105
70	102056.761879
71	102056.761879
72	101686.869954
73	101686.869954
74	101686.869954
75	101617.493174
76	101212.782656
77	101212.782656
78	101212.782656
79	101212.782656
80	101212.782656
81	101212.782656
82	101212.782656
83	100676.083021
84	100671.964142
85	100671.964142
86	100498.38164
87	100498.38164
88	100325.505087
89	100325.505087
90	100237.000236
91	100237.000236
92	100237.000236
93	100237.000236
94	100237.000236
95	100237.000236
96	100237.000236
97	100237.000236
98	100237.000236
99	100237.000236
100	100237.000236
101	100237.000236
102	100237.000236
103	100190.476587
104	100190.476587
105	100190.476587
106	100190.476587
107	100002.379063
108	100002.379063
109	100002.379063
110	100002.379063
111	100002.379063
112	100002.379063
113	100002.379063
114	100002.379063
115	100002.379063
116	100002.379063
117	100002.379063
118	100002.379063
119	100002.379063
120	99970.9320961
121	99970.9320961
122	99970.9320961
123	99947.7025967
124	99947.7025967
125	99947.7025967
126	99947.7025967
127	99926.1908833
128	99926.1908833
129	99925.4736376
130	99925.4736376
131	99913.1365777
132	99913.1365777
133	99908.1349033
134	99908.1349033
135	99908.1349033
136	99908.1349033
137	99908.1349033
138	99908.1349033
139	99908.1349033
140	99908.1349033
141	99908.1349033
142	99908.1349033
143	99908.1349033
144	99908.1349033
145	99908.1349033
146	99908.1349033
147	99528.2843017
148	99528.2843017
149	99528.2843017
150	99528.2843017
151	99528.2843017
152	99528.2843017
153	99528.2843017
154	99453.9752406
155	99204.7402985
156	99204.7402985
157	99204.7402985
158	99204.7402985
159	99204.7402985
160	99204.7402985
161	99164.8073523
162	99164.8073523
163	99095.4301741
164	99095.4301741
165	99095.4301741
166	98886.1091316
167	98886.1091316
168	98886.1091316
169	98776.9577317
170	98776.9577317
171	98776.9577317
172	98776.9577317
173	98776.9577317
174	98776.9577317
175	98776.9577317
176	98776.9577317
177	98776.9577317
178	98776.9577317
179	98776.9577317
180	98776.9577317
181	98776.9577317
182	98776.9577317
183	98776.9577317
184	98776.9577317
185	98776.9577317
186	98776.9577317
187	98776.9577317
188	98776.9577317
189	98776.9577317
190	98776.9577317
191	98763.846412
192	98737.8828041
193	98737.8828041
194	98737.8828041
195	98737.8828041
196	98737.8828041
197	98720.0367605
198	98720.0367605
199	98596.7198545
200	98596.7198545
201	98596.7198545
202	98581.71913
