I made this one to only predict call time
4 hidden nodes, 2 hidden layers
attribute range: -5 to 5

gen 0 best fit: 115673.66661452307
gen 1 best fit: 112665.88335267073
gen 2 best fit: 105238.2776171453
gen 3 best fit: 105238.2776171453
gen 4 best fit: 105238.2776171453
gen 5 best fit: 104799.3159120336
gen 6 best fit: 104799.3159120336
gen 7 best fit: 104799.3159120336
gen 8 best fit: 103256.79377641676
gen 9 best fit: 102470.0262087355
gen 10 best fit: 102470.0262087355
gen 11 best fit: 101971.6314787954
gen 12 best fit: 101971.6314787954
gen 13 best fit: 101860.80217824831
gen 14 best fit: 101860.80217824831
gen 15 best fit: 101063.77773921282
gen 16 best fit: 101063.77773921282
gen 17 best fit: 101048.34403788569
gen 18 best fit: 101048.34403788569
gen 19 best fit: 101048.34403788569
gen 20 best fit: 100969.97512337648
gen 21 best fit: 100969.97512337648
gen 22 best fit: 100969.97512337648
gen 23 best fit: 100762.79631626913
gen 24 best fit: 100762.79631626913
gen 25 best fit: 100762.79631626913
gen 26 best fit: 100762.79631626913
gen 27 best fit: 100664.72565701308
gen 28 best fit: 100664.72565701308
gen 29 best fit: 100652.75926350767
gen 30 best fit: 100613.86800407428
gen 31 best fit: 100523.15170094499
gen 32 best fit: 100361.340369025
gen 33 best fit: 100361.340369025
gen 34 best fit: 100347.368323608
gen 35 best fit: 100326.81821096929
gen 36 best fit: 100302.26950977766
gen 37 best fit: 100151.99311066394
gen 38 best fit: 100041.61291438046
gen 39 best fit: 100034.34232110856
gen 40 best fit: 100034.34232110856
gen 41 best fit: 100026.21869709896
gen 42 best fit: 100012.04135543923
gen 43 best fit: 99925.91939312026
gen 44 best fit: 99925.91939312026
gen 45 best fit: 99910.16413116854
gen 46 best fit: 99910.16413116854
gen 47 best fit: 99910.16413116854
gen 48 best fit: 99676.8028938607
gen 49 best fit: 99668.12304298824
gen 50 best fit: 99668.12304298824
gen 51 best fit: 99668.12304298824
gen 52 best fit: 99668.12304298824
gen 53 best fit: 99668.12304298824
gen 54 best fit: 99522.68498143225
gen 55 best fit: 99522.68498143225
gen 56 best fit: 99522.68498143225
gen 57 best fit: 99445.3415129062
gen 58 best fit: 99445.3415129062
gen 59 best fit: 99445.3415129062
gen 60 best fit: 99389.97234117269
gen 61 best fit: 99325.31146688845
gen 62 best fit: 99323.58405782533
gen 63 best fit: 99321.4662019171
gen 64 best fit: 99301.40107638264
gen 65 best fit: 99301.40107638264
gen 66 best fit: 99245.70126001266
gen 67 best fit: 99226.0882167703
gen 68 best fit: 99153.19026771412
gen 69 best fit: 99153.19026771412
gen 70 best fit: 99148.00010366255
gen 71 best fit: 99089.47520571838
gen 72 best fit: 99089.47520571838
gen 73 best fit: 99043.0927153035
gen 74 best fit: 99043.0927153035
gen 75 best fit: 98915.2102939182
gen 76 best fit: 98883.1074280121
gen 77 best fit: 98883.1074280121
gen 78 best fit: 98883.1074280121
gen 79 best fit: 98797.65850675934
gen 80 best fit: 98797.65850675934
gen 81 best fit: 98797.65850675934
gen 82 best fit: 98731.9611199844
gen 83 best fit: 98731.9611199844
gen 84 best fit: 98731.9611199844
gen 85 best fit: 98717.51635735088
gen 86 best fit: 98648.75504658486
gen 87 best fit: 98648.75504658486
gen 88 best fit: 98648.75504658486
gen 89 best fit: 98648.75504658486
gen 90 best fit: 98641.43898382837
gen 91 best fit: 98641.43898382837
gen 92 best fit: 98580.87703773598
gen 93 best fit: 98580.87703773598
gen 94 best fit: 98580.87703773598
gen 95 best fit: 98564.1833829375
gen 96 best fit: 98543.98612303252
gen 97 best fit: 98532.08539746396
gen 98 best fit: 98532.08539746396
gen 98 best fit: 98532.08539746396

 best individual:
[-0.8117473298149752, 3.1779106488735933, -1.0315922597987983, 0.6334629072218295, -3.7688824850665936, 5.988901637510299, 4.317461299675868, -2.3311667849519755, -1.3852355757888721, -0.976719128393416, 0.3216756357848478, -0.6524664487714582, 4.24231210463636, 2.653276929997263, -3.690358926073174, 2.2676040994485613, 3.7184343839868914, -2.595793545912849, -5.174946294705284, 2.9463508318547396, 6.04241597177101, -4.112339773114085, 0.5011500300638587, 6.009561524735665, 5.251950826719331, 1.147972284148849, -4.269733517704401, -2.7894671185998843, 1.2369595671539493, 2.228277322409066, -3.1587993316550653, -1.9753692894371329, -0.3497769933888469, -4.001718282906227, 0.29116628533001077, 3.99135398657201, -1.812436996226755, 2.9449914999574345, 5.007592920689272, 0.4777947942976024, 2.907022577070941, 1.4025576913261695, -0.3599780444828886, -4.316835335022501, -3.8743164658301397, -1.5134335688030085, 5.10268230787747, 2.264186766656302, 0.015331533921441542, 3.2138696589035582]
