incident_number,converted response,avg response
18005433,10.9,10.9
18005434,,
18005434,9.116666667,5.966666667
18005434,3.783333333,
18005434,4.45,
18005434,6.516666667,
18005434,,
18005435,3.433333333,9.791666667
18005435,16.15,
18005436,,
18005436,2.3,2.3
18005437,5.116666667,5.116666667
18005439,10.76666667,10.76666667
18005440,,
18005440,22.01666667,22.01666667
18005441,6.416666667,6.416666667
18005442,,
18005442,,
18005442,4.15,2.783333333
18005442,1.316666667,
18005442,,
18005442,2.883333333,
18005443,9.916666667,6.238888889
18005443,3.683333333,
18005443,5.116666667,
18005444,,
18005444,2.716666667,2.641666667
18005444,2.566666667,
18005446,11.21666667,11.21666667
18005446,,
18005446,,
18005447,,
18005447,2.666666667,4.503333333
18005447,4.2,
18005447,2.8,
18005447,5.366666667,
18005447,7.483333333,
18005449,5.516666667,6.108333333
18005449,6.7,
18005450,9.733333333,9.733333333
18005452,4.8,3.972222222
18005452,2.633333333,
18005452,,
18005452,4.483333333,
18005453,4.816666667,4.816666667
18005454,6.8,6.8
18005456,5.05,6.616666667
18005456,8.183333333,
18005457,12.58333333,12.58333333
18005458,9.8,10.225
18005458,10.65,
18005460,4.3,5.466666667
18005460,,
18005460,6.633333333,
18005461,11.73333333,11.73333333
18005462,6.966666667,6.166666667
18005462,5.366666667,
18005463,8.316666667,
18005463,7.45,
18005465,15.15,
18005466,10.38333333,
18005467,4.15,
18005467,5.283333333,
18005469,29,
18005470,4.083333333,
18005470,,
18005471,8.366666667,
18005472,3.066666667,
18005472,,
18005472,,
18005472,6.833333333,
18005474,23.91666667,
18005474,4.116666667,
18005475,5.383333333,
18005475,4.433333333,
18005476,5.233333333,
18005477,4.666666667,
18005477,3.833333333,
18005478,14.81666667,
18005478,14.28333333,
18005479,,
18005479,,
18005479,,
18005480,4,
18005483,8.316666667,
18005483,1.733333333,
18005484,6.066666667,
18005484,9.033333333,
18005485,11.48333333,
18005486,5.25,
18005486,1.966666667,
18005487,7.266666667,
18005490,6.966666667,
18005491,,
18005491,3.516666667,
18005491,3.133333333,
18005492,,
18005492,4.433333333,
18005493,4.233333333,
18005494,5.833333333,
18005495,8.983333333,
18005495,4.216666667,
18005497,11.1,
18005498,4.416666667,
18005498,7.783333333,
18005499,5.7,
18005499,4.233333333,
18005499,3.85,
18005500,8.083333333,
18005501,5.066666667,
18005502,5.866666667,
18005502,2.85,
18005502,2.333333333,
18005502,,
18005502,5.75,
18005502,4.833333333,
18005502,8.083333333,
18005502,4.233333333,
18005502,2.466666667,
18005503,,
18005503,7.283333333,
18005504,,
18005504,2.983333333,
18005504,6.75,
18005504,,
18005504,6.533333333,
18005504,10.23333333,
18005505,8.65,
18005505,5.516666667,
18005505,10.91666667,
18005506,5.283333333,
18005506,8.45,
18005507,8.033333333,
18005507,5.983333333,
18005508,4.55,
18005508,19.08333333,
18005510,4.483333333,
18005510,4.466666667,
18005510,15.23333333,
18005511,6.55,
18005511,4.766666667,
18005511,5.6,
18005513,3.983333333,
18005513,5.05,
18005513,4.133333333,
18005514,16.51666667,
18005515,,
18005515,2.016666667,
18005517,,
18005517,3.8,
18005518,,
18005518,2.266666667,
18005519,12.15,
18005520,22.45,
18005521,5.416666667,
18005522,14.66666667,
18005523,,
18005523,3.85,
18005525,8.866666667,
18005525,16.7,
18005526,5,
18005526,3.55,
18005527,3.733333333,
18005527,3.4,
18005528,11.3,
18005529,26.88333333,
18005530,2.95,
18005530,3.95,
18005530,3.85,
18005530,3.2,
18005530,3.416666667,
18005530,6.083333333,
18005530,,
18005530,3.283333333,
18005530,3,
18005530,3.1,
18005531,11.18333333,
18005532,,
18005532,12.85,
18005533,6.466666667,
18005534,3.533333333,
18005534,3.266666667,
18005535,7.75,
18005537,1.583333333,
18005537,4.866666667,
18005537,3.066666667,
18005538,3.283333333,
18005538,4.716666667,
18005539,11.88333333,
18005540,2.066666667,
18005540,,
18005540,,
18005542,6.583333333,
18005542,2.966666667,
18005543,3.05,
18005543,5.8,
18005544,5.05,
18005544,3.95,
18005545,8.333333333,
18005545,3.966666667,
18005547,11.45,
18005549,8.683333333,
18005549,7.116666667,
18005549,,
18005549,7.216666667,
18005549,,
18005549,,
18005549,8.766666667,
18005550,3.65,
18005550,6.6,
18005551,5.25,
18005552,5.233333333,
18005552,1.933333333,
18005553,6.85,
18005554,3.95,
18005554,4.1,
18005554,,
18005554,2.466666667,
18005554,7.683333333,
18005554,5.033333333,
18005554,7,
18005554,3.883333333,
18005554,5.266666667,
18005554,3.766666667,
18005555,3.2,
18005555,4.933333333,
18005555,1.4,
18005556,4,
18005556,3.633333333,
18005557,5.316666667,
18005557,6.283333333,
18005558,,
18005558,5.783333333,
18005559,14.51666667,
18005560,9.983333333,
18005561,10.96666667,
18005562,3.966666667,
18005562,,
18005562,,
18005563,9.15,
